Force,Position,date
709.85,166.02,Mon Jul 14 2014 07:24:00 GMT-0400 (EDT)
531.73,26.3,Mon Jul 14 2014 07:30:00 GMT-0400 (EDT)
434.39,95.79,Mon Jul 14 2014 07:36:00 GMT-0400 (EDT)
410.72,293.17,Mon Jul 14 2014 07:42:00 GMT-0400 (EDT)
423.63,65.69,Mon Jul 14 2014 07:48:00 GMT-0400 (EDT)
515.03,95.83,Mon Jul 14 2014 07:54:00 GMT-0400 (EDT)
380.08,195.43,Mon Jul 14 2014 08:00:00 GMT-0400 (EDT)
616.89,56.7,Mon Jul 14 2014 08:06:00 GMT-0400 (EDT)
396.73,55.89,Mon Jul 14 2014 08:12:00 GMT-0400 (EDT)
417.64,210.34,Mon Jul 14 2014 08:18:00 GMT-0400 (EDT)
546.06,102.03,Mon Jul 14 2014 08:24:00 GMT-0400 (EDT)
604.59,0,Mon Jul 14 2014 08:30:00 GMT-0400 (EDT)
345.08,193.37,Mon Jul 14 2014 08:36:00 GMT-0400 (EDT)
0,0,Mon Jul 14 2014 08:42:00 GMT-0400 (EDT)
0,0,Mon Jul 14 2014 08:48:00 GMT-0400 (EDT)
0,0,Mon Jul 14 2014 08:54:00 GMT-0400 (EDT)
0,0,Mon Jul 14 2014 09:00:00 GMT-0400 (EDT)
0,0,Mon Jul 14 2014 09:06:00 GMT-0400 (EDT)
0,0,Mon Jul 14 2014 09:12:00 GMT-0400 (EDT)
0,0,Mon Jul 14 2014 09:18:00 GMT-0400 (EDT)
0,0,Mon Jul 14 2014 09:24:00 GMT-0400 (EDT)
0,0,Mon Jul 14 2014 09:30:00 GMT-0400 (EDT)
0,0,Mon Jul 14 2014 09:36:00 GMT-0400 (EDT)
661.19,100.46,Mon Jul 14 2014 09:42:00 GMT-0400 (EDT)
516.07,100.7,Mon Jul 14 2014 09:48:00 GMT-0400 (EDT)
400.81,183.97,Mon Jul 14 2014 09:54:00 GMT-0400 (EDT)
401.71,12,Mon Jul 14 2014 10:00:00 GMT-0400 (EDT)
623.04,22.39,Mon Jul 14 2014 10:06:00 GMT-0400 (EDT)
372.64,135.39,Mon Jul 14 2014 10:12:00 GMT-0400 (EDT)
372.27,63.44,Mon Jul 14 2014 10:18:00 GMT-0400 (EDT)
675.04,52.65,Mon Jul 14 2014 10:24:00 GMT-0400 (EDT)
586.56,218.51,Mon Jul 14 2014 10:30:00 GMT-0400 (EDT)
368.48,108.9,Mon Jul 14 2014 10:36:00 GMT-0400 (EDT)
467.89,0,Mon Jul 14 2014 10:42:00 GMT-0400 (EDT)
611.96,137.03,Mon Jul 14 2014 10:48:00 GMT-0400 (EDT)
421.83,155.06,Mon Jul 14 2014 10:54:00 GMT-0400 (EDT)
